timestamp,time (gmt),value,lowPass,highPass,highPassAdaptiveMean
1495414963.241919,42877.043556,201.0000,246.0951,-1.7819,0.0000
1495414963.368971,42877.043558,266.0000,248.0856,0.1043,0.0000
1495414963.513918,42877.043559,267.0000,249.9771,0.9979,0.0000
1495414963.653420,42877.043561,235.0000,248.4793,-0.2499,0.0000
1495414963.794803,42877.043562,223.0000,245.9314,-1.3989,0.0000
1495414963.944191,42877.043564,264.0000,247.7383,0.2040,0.0000
1495414964.083452,42877.043566,202.0000,243.1644,-2.1849,0.0000
1495414964.221780,42877.043567,266.0000,245.4480,0.0493,0.0000
1495414964.360082,42877.043569,254.0000,246.3032,0.4523,0.0000
1495414964.506276,42877.043571,258.0000,247.4729,0.8110,0.0000
1495414964.646341,42877.043572,202.0000,242.9256,-1.8682,0.0000
1495414964.789255,42877.043574,216.0000,240.2330,-2.2804,0.0000
1495414964.936195,42877.043576,198.0000,236.0097,-3.2518,0.0000
1495414965.075193,42877.043577,214.0000,233.8088,-2.7264,0.0000
1495414965.213515,42877.043579,198.0000,230.2279,-3.1536,0.0000
1495414965.358653,42877.043581,259.0000,233.1051,-0.1382,0.0000
1495414965.497384,42877.043582,226.0000,232.3946,-0.4244,0.0000
1495414965.636578,42877.043584,251.0000,234.2551,0.7181,0.0000
1495414965.783267,42877.043585,201.0000,230.9296,-1.3037,0.0000
1495414965.921563,42877.043587,203.0000,228.1367,-2.0483,0.0000
1495414966.061896,42877.043589,201.0000,225.4230,-2.3810,0.0000
1495414966.199654,42877.043590,219.0000,224.7807,-1.5116,0.0000
1495414966.341104,42877.043592,273.0000,229.6026,1.6551,0.0000
1495414966.479016,42877.043594,228.0000,229.4424,0.7474,0.0000
1495414966.617131,42877.043595,223.0000,228.7981,0.0516,0.0000
1495414966.759737,42877.043597,201.0000,226.0183,-1.3641,0.0000
1495414966.897990,42877.043598,253.0000,228.7165,0.6670,0.0000
1495414967.036677,42877.043600,243.0000,230.1448,1.0477,0.0000
1495414967.175032,42877.043602,235.0000,230.6303,0.7666,0.0000
1495414967.318228,42877.043603,218.0000,229.3673,-0.2482,0.0000
1495414967.456443,42877.043605,209.0000,227.3306,-1.1425,0.0000
1495414967.600534,42877.043606,259.0000,230.4975,1.0122,0.0000
1495414967.743254,42877.043608,256.0000,233.0478,1.7812,0.0000
1495414967.882234,42877.043610,220.0000,231.7430,0.2382,0.0000
1495414968.021243,42877.043611,239.0000,232.4687,0.4820,0.0000
1495414968.167619,42877.043613,258.0000,235.0218,1.5175,0.0000
1495414968.306638,42877.043615,197.0000,231.2196,-1.1423,0.0000
1495414968.449198,42877.043616,271.0000,235.1977,1.4179,0.0000
1495414968.598261,42877.043618,249.0000,236.5779,1.3990,0.0000
1495414968.737559,42877.043620,233.0000,236.2201,0.5206,0.0000
1495414968.879876,42877.043621,237.0000,236.2981,0.2993,0.0000
1495414969.029757,42877.043623,259.0000,238.5683,1.2847,0.0000
1495414969.169870,42877.043625,240.0000,238.7115,0.7140,0.0000
1495414969.308979,42877.043626,206.0000,235.4403,-1.2786,0.0000
1495414969.460272,42877.043628,283.0000,240.1963,1.7387,0.0000
1495414969.599103,42877.043630,266.0000,242.7767,2.1595,0.0000
1495414969.737957,42877.043631,232.0000,241.6990,0.5409,0.0000
1495414969.890905,42877.043633,259.0000,243.4291,1.1355,0.0000
1495414970.030030,42877.043635,222.0000,241.2862,-0.5037,0.0000
1495414970.169178,42877.043636,247.0000,241.8576,0.0338,0.0000
1495414970.321249,42877.043638,259.0000,243.5718,0.8740,0.0000
1495414970.459635,42877.043640,261.0000,245.3146,1.3084,0.0000
1495414970.598198,42877.043641,199.0000,240.6832,-1.6615,0.0000
1495414970.752399,42877.043643,202.0000,236.8148,-2.7649,0.0000
1495414970.891008,42877.043645,221.0000,235.2334,-2.1732,0.0000
1495414971.029288,42877.043646,206.0000,232.3100,-2.5483,0.0000
1495414971.168243,42877.043648,206.0000,229.6790,-2.5896,0.0000
1495414971.319158,42877.043650,239.0000,230.6111,-0.8288,0.0000
1495414971.463604,42877.043651,263.0000,233.8500,1.2051,0.0000
1495414971.621060,42877.043653,276.0000,238.0650,2.7100,0.0000
1495414971.759593,42877.043655,228.0000,237.0585,0.8518,0.0000
1495414971.898932,42877.043656,226.0000,235.9527,-0.1270,0.0000
1495414972.051369,42877.043658,252.0000,237.5574,0.7388,0.0000
1495414972.190345,42877.043660,251.0000,238.9017,1.0416,-0.2177
1495414972.349779,42877.043661,263.0000,241.3115,1.7257,0.0000
1495414972.490296,42877.043663,265.0000,243.6803,2.0473,0.0000
1495414972.616976,42877.043665,260.0000,245.3123,1.8396,0.0000
1495414972.743698,42877.043666,196.0000,240.3811,-1.5458,0.0000
1495414972.872837,42877.043668,204.0000,236.7430,-2.5920,0.0000
1495414973.006864,42877.043669,200.0000,233.0687,-3.1331,0.0000
1495414973.133943,42877.043671,309.0000,240.6618,2.2300,0.0000
1495414973.260580,42877.043672,273.0000,243.8956,2.7319,0.0000
1495414973.390122,42877.043673,236.0000,243.1061,0.9712,0.0000
1495414973.539095,42877.043675,199.0000,238.6955,-1.7197,0.0000
1495414973.683295,42877.043677,217.0000,236.5259,-1.9446,0.0000
1495414973.809698,42877.043678,292.0000,242.0733,1.8014,0.0000
1495414973.936083,42877.043680,259.0000,243.7660,1.7470,0.0000
1495414974.064531,42877.043681,200.0000,239.3894,-1.3148,0.0000
1495414974.191355,42877.043683,299.0000,245.3504,2.3231,0.0000
1495414974.317803,42877.043684,255.0000,246.3154,1.6440,0.0000
1495414974.444307,42877.043686,266.0000,248.2839,1.8063,0.0000
1495414974.570794,42877.043687,198.0000,243.2555,-1.6111,0.0000
1495414974.702366,42877.043689,200.0000,238.9299,-2.9683,0.0000
1495414974.831967,42877.043690,198.0000,234.8369,-3.5307,0.0000
1495414974.959691,42877.043692,198.0000,231.1532,-3.6072,0.0000
1495414975.087669,42877.043693,249.0000,232.9379,-0.9112,0.0000
1495414975.223328,42877.043695,198.0000,229.4441,-2.2025,0.0000
1495414975.350488,42877.043696,259.0000,232.3997,0.3765,0.0000
1495414975.478044,42877.043698,261.0000,235.2597,1.6183,0.0000
1495414975.605288,42877.043699,199.0000,231.6338,-1.0038,0.0000
1495414975.734263,42877.043701,271.0000,235.5704,1.4664,0.0000
1495414975.863940,42877.043702,207.0000,232.7134,-0.6953,0.0000
1495414975.991452,42877.043704,209.0000,230.3420,-1.5333,0.0000
1495414976.122592,42877.043705,252.0000,232.5078,0.3162,0.0000
1495414976.249726,42877.043707,254.0000,234.6570,1.2327,0.0000
1495414976.379392,42877.043708,200.0000,231.1913,-1.1165,0.0000
1495414976.506593,42877.043710,257.0000,233.7722,0.7322,0.0000
1495414976.634059,42877.043711,284.0000,238.7950,2.8775,0.0000
1495414976.769444,42877.043713,296.0000,244.5155,4.2990,0.0000
1495414976.904201,42877.043714,200.0000,240.0639,-0.0763,0.0000
1495414977.035661,42877.043716,263.0000,242.3575,1.1087,0.0000
1495414977.162872,42877.043717,267.0000,244.8218,1.7865,0.0000
1495414977.290137,42877.043719,235.0000,243.8396,0.4021,0.0000
1495414977.417466,42877.043720,258.0000,245.2556,0.9091,0.0000
1495414977.545445,42877.043722,269.0000,247.6301,1.6418,0.0000
1495414977.672627,42877.043723,266.0000,249.4671,1.7394,0.0000
1495414977.805603,42877.043725,330.0000,257.5204,4.8963,0.0000
1495414977.933084,42877.043726,275.0000,259.2683,3.3221,0.0000
1495414978.061363,42877.043728,303.0000,263.6415,3.8477,0.0000
1495414978.188151,42877.043729,299.0000,267.1773,3.6918,0.0000
1495414978.315166,42877.043730,260.0000,266.4596,1.4870,0.0000
1495414978.454384,42877.043732,242.0000,264.0137,-0.4795,0.0000
1495414978.600922,42877.043734,227.0000,260.3123,-2.0904,0.0000
1495414978.739730,42877.043735,199.0000,254.1811,-4.1108,0.0000
1495414978.885803,42877.043737,270.0000,255.7630,-1.2645,0.0000
1495414979.031696,42877.043739,198.0000,249.9867,-3.5204,0.0000
1495414979.170277,42877.043740,221.0000,247.0880,-3.2095,0.0000
1495414979.309491,42877.043742,201.0000,242.4792,-3.9092,0.0000
1495414979.456417,42877.043744,278.0000,246.0313,-0.1785,0.0000
1495414979.595416,42877.043745,259.0000,247.3281,0.5592,0.0000
1495414979.734739,42877.043747,199.0000,242.4953,-2.1368,0.0000
1495414979.889983,42877.043749,200.0000,238.2458,-3.1932,0.0000
1495414980.030026,42877.043750,245.0000,238.9212,-1.2589,0.0000
1495414980.169168,42877.043752,241.0000,239.1291,-0.5255,0.0000
1495414980.322800,42877.043754,198.0000,235.0162,-2.3192,0.0000
1495414980.461453,42877.043755,196.0000,231.1146,-3.1104,0.0000
1495414980.599915,42877.043757,224.0000,230.4031,-1.9109,0.0000
1495414980.754856,42877.043759,203.0000,227.6628,-2.3256,0.0000
1495414980.893271,42877.043760,199.0000,224.7965,-2.5960,0.0000
1495414981.019837,42877.043762,263.0000,228.6169,0.6122,0.0000
1495414981.165008,42877.043763,260.0000,231.7552,1.8753,0.0000
1495414981.305669,42877.043765,243.0000,232.8797,1.4999,0.0000
1495414981.444721,42877.043767,256.0000,235.1917,1.9060,0.0000
1495414981.583772,42877.043768,247.0000,236.3725,1.5434,0.0000
1495414981.727639,42877.043770,204.0000,233.1353,-0.8469,0.0000
1495414981.866298,42877.043772,198.0000,229.6217,-2.1802,0.0000
1495414982.005177,42877.043773,247.0000,231.3596,-0.2212,0.0000
1495414982.151700,42877.043775,73.0000,215.5236,-8.0286,0.0000
1495414982.291871,42877.043777,258.0000,219.7713,-1.8905,0.0000
1495414982.430524,42877.043778,237.0000,221.4941,-0.0838,0.0000
1495414982.570632,42877.043780,213.0000,220.6447,-0.4666,0.0000
1495414982.711603,42877.043781,199.0000,218.4802,-1.3155,0.0000
1495414982.851974,42877.043783,198.0000,216.4322,-1.6818,0.0000
1495414982.993956,42877.043785,198.0000,214.5890,-1.7625,0.0000
1495414983.133829,42877.043786,203.0000,213.4301,-1.4607,0.0000
1495414983.272994,42877.043788,222.0000,214.2871,-0.3019,0.0000
1495414983.411373,42877.043789,234.0000,216.2584,0.8347,0.0000
1495414983.550342,42877.043791,219.0000,216.5325,0.5544,0.0000
1495414983.692393,42877.043793,198.0000,214.6793,-0.6494,0.0000
1495414983.832332,42877.043794,200.0000,213.2114,-1.0587,0.0000
1495414983.970713,42877.043796,224.0000,214.2902,0.0101,0.0000
1495414984.110399,42877.043798,276.0000,220.4612,3.0905,0.0000
1495414984.237642,42877.043799,251.0000,223.5151,3.0722,0.0000
1495414984.365305,42877.043801,260.0000,227.1636,3.3604,0.0000
1495414984.492435,42877.043802,200.0000,224.4472,0.3220,0.0000
1495414984.627319,42877.043804,200.0000,222.0025,-1.0614,0.0000
1495414984.754492,42877.043805,244.0000,224.2022,0.5692,0.0000
1495414984.881709,42877.043807,200.0000,221.7820,-0.9255,0.0000
1495414985.008921,42877.043808,199.0000,219.5038,-1.6019,0.0000
1495414985.151906,42877.043810,200.0000,217.5534,-1.7761,0.0000
1495414985.279104,42877.043811,199.0000,215.6981,-1.8157,0.0000
1495414985.408048,42877.043813,264.0000,220.5283,1.5072,0.0000
1495414985.535316,42877.043814,250.0000,223.4755,2.2272,0.0000
1495414985.662536,42877.043816,199.0000,221.0279,-0.1102,0.0000
1495414985.792330,42877.043817,242.0000,223.1251,0.9935,0.0000
1495414985.921515,42877.043819,206.0000,221.4126,-0.3595,0.0000
